Rank,Points,Votes,Name,Film,Group,"Group
Rank",Vote Distribution,Year,Place of Birth,Gender,Birthday,Deathday,Age,Release Date,Genres,ID
44,42,13,Kirk Douglas,Paths of Glory,19,4,4133244444144,1957,USA,2,1916-12-09,2020-02-05,40,1957-09-18,"Drama, War",524
46,42,13,Max von Sydow,The Virgin Spring,9,1,3344323343433,1960,Sweden,2,1929-04-10,2020-03-08,30,1960-02-08,"Crime, Drama, Thriller",621
47,42,12,Charlie Chaplin,City Lights,18,2,434424243444,1931,UK,2,1889-04-16,1977-12-25,41,1931-01-30,"Comedy, Drama, Romance",162
47,42,12,Humphrey Bogart,Casablanca,19,5,424343444442,1942,USA,2,1899-12-25,1957-01-14,42,1942-11-26,"Drama, Romance",367
47,42,12,Vivien Leigh,Gone With the Wind,15,3,423444234444,1939,India,1,1913-11-05,1967-07-07,26,1939-12-15,"Drama, War, Romance",886
50,41,15,Cary Grant,North by Northwest,12,4,242332324142423,1959,UK,2,1904-01-18,1986-11-29,55,1959-07-01,"Mystery, Thriller",144
51,41,14,Peter Finch,Network,13,4,42322342413434,1976,UK,2,1916-09-27,1977-01-14,60,1976-11-01,Drama,706
52,41,13,Ingrid Thulin,Cries and Whispers,3,7,3343413332444,1972,Sweden,1,1926-01-27,2004-01-07,46,1972-12-21,Drama,382
52,41,13,John Cazale,The Godfather Part II,8,6,3443314334432,1974,USA,2,1935-08-12,1978-03-12,39,1974-12-20,"Drama, Crime",468
54,41,12,Henry Fonda,Once Upon a Time in the West,6,2,232334444444,1968,USA,2,1905-05-16,1982-08-12,63,1968-12-20,Western,359
55,40,14,Sigourney Weaver,Alien,14,3,42432244113433,1979,USA,1,1949-10-08,None,29,1979-05-25,"Horror, Science Fiction",819
56,40,13,Ingrid Bergman,Casablanca,10,2,4344434441113,1942,Sweden,1,1915-08-29,1982-08-29,27,1942-11-26,"Drama, Romance",379
57,40,13,James Stewart,Vertigo,17,4,4431334421443,1958,USA,2,1908-05-20,1997-07-02,50,1958-05-09,"Mystery, Romance, Thriller",417
57,40,13,Malcolm McDowell,A Clockwork Orange,18,3,4233443124424,1971,UK,2,1943-06-13,None,28,1971-12-19,"Science Fiction, Drama",573
59,40,13,Klaus Kinski,Fitzcarraldo,3,8,2343443143234,1982,Poland,2,1926-10-18,1991-11-23,55,1982-03-04,"Drama, Adventure",527
60,40,13,Mads Mikkelsen,Jagten,5,3,3443223333424,2012,Denmark,2,1965-11-22,None,46,2012-05-20,Drama,570
61,40,11,Robert De Niro,The Deer Hunter,18,4,32444444344,1978,USA,2,1943-08-17,None,34,1978-03-09,"Drama, War",753
62,39,15,Javier Bardem,No Country for Old Men,12,5,321424333243122,2007,Spain,2,1969-03-01,None,38,2007-05-19,"Crime, Drama, Thriller",431
63,39,14,Martin Sheen,Badlands,3,9,12344123334234,1973,USA,2,1940-08-03,None,33,1973-10-15,Crime,611
64,39,13,Toshiro Mifune,The Hidden Fortress,1,4,1434424234314,1958,China,2,1920-04-01,1997-12-24,38,1958-12-28,"Adventure, Drama, Action, Comedy",946
65,39,13,Jack Lemmon,The Apartment,16,4,3244343323233,1960,USA,2,1925-02-08,2001-06-27,35,1960-06-15,"Comedy, Drama, Romance",392
65,39,13,Louise Fletcher,One Flew Over the Cuckoo's Nest,5,4,4331433433332,1975,USA,1,1934-07-22,None,41,1975-11-18,Drama,564
67,39,12,Tatsuya Nakadai,Harakiri,2,2,343244314434,1962,Japan,2,1932-12-13,None,29,1962-09-15,"Action, Drama, History",959
68,39,11,David Thewlis,Naked,12,6,42344433444,1993,UK,2,1963-03-20,None,30,1993-09-14,"Drama, Comedy",213
69,39,10,Alec Guinness,The Bridge on the River Kwai,2,3,3444444444,1957,UK,2,1914-04-02,2000-08-05,43,1957-10-02,"Drama, History, War",31
70,38,13,Robert Mitchum,The Night of the Hunter,11,2,4243434133124,1955,USA,2,1917-08-06,1997-07-01,37,1955-07-26,"Crime, Drama, Thriller",761
71,38,12,Victor Sjöström,Wild Strawberries,10,3,343334431433,1957,Sweden,2,1879-09-20,1960-01-03,78,1957-12-26,Drama,880
72,38,11,Marlon Brando,A Streetcar Named Desire,2,4,44444342144,1951,USA,2,1924-04-03,2004-07-01,27,1951-09-19,Drama,602
73,38,11,Jean-Louis Trintignant,Amour,1,5,43244434433,2012,France,2,1930-12-11,None,81,2012-05-20,"Drama, Romance",438
73,38,11,James Dean,Rebel Without a Cause,10,4,34444434233,1955,USA,2,1931-02-08,1955-09-30,24,1955-10-26,Drama,410
75,37,13,Harrison Ford,Blade Runner,16,5,3123442242244,1982,USA,2,1942-07-13,None,39,1982-06-25,"Science Fiction, Drama, Thriller",345
76,37,12,Diane Keaton,Annie Hall,1,6,244444332214,1977,USA,1,1946-01-05,None,31,1977-03-27,"Comedy, Drama, Romance",227
76,37,12,Jack Nicholson,Five Easy Pieces,1,7,341343244144,1970,USA,2,1937-04-22,None,33,1970-09-12,Drama,395
78,37,12,Giulietta Masina,Nights of Cabiria,20,2,444242243332,1957,Italy,1,1921-02-22,1994-03-23,36,1957-10-03,Drama,329
79,37,12,Eli Wallach,"The Good, the Bad, and the Ugly",4,2,334443224323,1966,USA,2,1915-12-07,2014-06-24,51,1966-12-23,Western,249
80,37,11,Robert Shaw,Jaws,11,3,43442444314,1975,UK,2,1927-08-09,1978-08-28,47,1975-06-18,"Horror, Thriller, Adventure",767
81,37,11,F. Murray Abraham,Amadeus,17,5,43344343342,1984,USA,2,1939-10-24,None,44,1984-09-06,"Drama, History, Music",280
82,37,10,Marlon Brando,On the Waterfront,11,4,4344442444,1954,USA,2,1924-04-03,2004-07-01,30,1954-06-22,"Crime, Drama",604
83,36,14,Paul Newman,The Verdict,13,5,33132223143441,1982,USA,2,1925-01-26,2008-09-26,57,1982-12-07,Drama,696
84,36,13,Harvey Keitel,Reservoir Dogs,12,7,2414233341342,1992,USA,2,1939-05-13,None,52,1992-01-21,"Crime, Thriller",351
85,36,11,Alain Delon,Le Samourai,14,4,34243413444,1967,France,2,1935-11-08,None,31,1967-10-25,"Crime, Thriller",17
85,36,11,Jodie Foster,The Silence of the Lambs,5,5,44444324223,1991,USA,1,1962-11-19,None,28,1991-01-30,"Crime, Drama, Thriller, Horror",461
87,36,11,Rutger Hauer,Blade Runner,18,5,34334234433,1982,Netherlands,2,1944-01-23,2019-07-19,38,1982-06-25,"Science Fiction, Drama, Thriller",784
87,36,11,Barbara Stanwyck,Double Indemnity,4,3,33344333442,1944,USA,1,1907-07-16,1990-01-20,36,1944-07-03,"Crime, Drama, Mystery, Thriller",75
89,36,10,Aleksei Kravchenko,Come and See,4,4,4244424444,1985,USSR,2,1969-10-10,None,15,1985-07-09,"Drama, War, History",923
90,36,10,Claudia Cardinale,Once Upon a Time in the West,14,5,4443434343,1968,Tunisia,1,1938-04-15,None,30,1968-12-20,Western,195
91,35,12,Dennis Hopper,Blue Velvet,14,6,411244422344,1986,USA,2,1936-05-17,2010-05-29,50,1986-08-30,"Crime, Mystery, Thriller",222
92,35,12,Toshiro Mifune,Yojimbo,13,7,232443412334,1961,China,2,1920-04-01,1997-12-24,41,1961-04-25,"Drama, Thriller",943
93,35,12,James Caan,The Godfather,17,6,433323434231,1972,USA,2,1940-03-26,None,31,1972-03-14,"Drama, Crime",401
94,35,11,Marcello Mastroianni,La Dolce Vita,7,3,32442422444,1960,Italy,2,1924-09-28,1996-12-19,35,1960-02-03,"Comedy, Drama",575
95,35,11,Rosamund Pike,Gone Girl,13,8,44433343232,2014,UK,1,1979-01-27,None,35,2014-09-26,"Mystery, Thriller, Drama",779
95,35,11,Christopher Walken,The Deer Hunter,8,7,13443434333,1978,USA,2,1943-03-31,None,34,1978-03-09,"Drama, War",184
97,35,10,James Cagney,White Heat,4,5,4234344434,1949,USA,2,1899-07-17,1986-03-30,50,1949-09-02,"Crime, Drama, Thriller",405
97,35,10,Buster Keaton,The General,5,6,4343443424,1926,USA,2,1895-10-04,1966-02-01,31,1926-12-25,"Action, Adventure, Comedy, Drama, War",137
99,34,13,Natalie Portman,Black Swan,3,10,4423213142314,2010,Israel,1,1981-06-09,None,29,2010-09-01,"Drama, Thriller, Horror",664
100,34,12,George C. Scott,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",7,4,442232134432,1964,USA,2,1927-10-18,1999-09-22,36,1964-01-29,"Drama, Comedy, War",315
100,34,12,Anthony Hopkins,The Silence of the Lambs,16,6,441342223234,1991,UK,2,1937-12-31,None,53,1991-01-30,"Crime, Drama, Thriller, Horror",55
102,34,12,Emmanuelle Riva,"Hiroshima, My Love",17,7,224224423333,1959,France,1,1927-02-24,2017-01-27,32,1959-05-08,"Drama, History, Romance",266
103,34,11,Peter Falk,A Woman Under the Influence,10,5,31334324434,1974,USA,2,1927-09-16,2011-06-23,47,1974-09-19,Drama,705
103,34,11,Nastassja Kinski,"Paris, Texas",10,5,43322443342,1984,Germany,1,1959-01-24,None,25,1984-05-19,Drama,663
103,34,11,Song Kang-ho,Parasite,13,6,33332431444,2019,South Korea,2,1967-01-17,None,52,2019-05-21,"Comedy, Thriller, Drama",998
106,34,10,Ellen Burstyn,Alice Doesn't Live Here Anymore,6,3,3244434442,1974,USA,1,1932-12-07,None,42,1974-12-09,"Drama, Romance, Comedy",253
107,34,9,Anthony Hopkins,The Remains of the Day,4,6,444433444,1993,UK,2,1937-12-31,None,55,1993-11-05,"Drama, Romance",54
107,34,9,Ben Kingsley,Gandhi,17,8,343444444,1982,UK,2,1943-12-31,None,38,1982-11-30,"Drama, History",89
107,34,9,Burt Lancaster,Sweet Smell of Success,5,7,443443444,1957,USA,2,1913-11-02,1994-10-20,43,1957-06-27,Drama,1002
110,33,13,Alan Rickman,Die Hard,15,4,2423242134312,1988,UK,2,1946-02-21,2016-01-14,42,1988-07-15,"Action, Thriller",22
111,33,12,Gene Wilder,Young Frankenstein,12,8,142123344432,1974,USA,2,1933-06-11,2016-08-29,41,1974-12-15,Comedy,312
112,33,12,Steve Buscemi,Fargo,12,9,233133432333,1995,USA,2,1957-12-13,None,38,1996-03-08,"Crime, Drama, Thriller",836
113,33,11,Casey Affleck,Manchester by the Sea,12,10,23442224343,2016,USA,2,1975-08-12,None,40,2016-01-23,Drama,146
113,33,11,J.K. Simmons,Whiplash,18,6,43242134433,2014,USA,2,1955-01-09,None,59,2014-01-16,"Drama, Music",388
115,33,10,Samuel L. Jackson,Pulp Fiction,3,11,2414444433,1994,USA,2,1948-12-21,None,45,1994-05-21,"Thriller, Crime",793
116,33,10,George C. Scott,Patton,20,3,4234324344,1970,USA,2,1927-10-18,1999-09-22,42,1970-01-25,"Drama, History, War",317
117,33,9,Rod Steiger,The Pawnbroker,19,6,442444434,1964,USA,2,1925-04-14,2002-07-09,39,1964-06-01,Drama,774
117,33,9,Tatsuya Nakadai,Ran,6,4,444442434,1985,Japan,2,1932-12-13,None,52,1985-05-25,"Action, Drama, History",956
119,33,9,Sandra Hüller,Toni Erdmann,1,8,444443433,2016,Germany,1,1978-01-01,None,38,2016-05-14,"Comedy, Drama",795
119,33,9,John Wayne,The Searchers,9,2,434444343,1956,USA,2,1907-05-26,1979-06-11,48,1956-05-07,Western,478
121,32,14,Clint Eastwood,"The Good, the Bad, and the Ugly",11,5,33221323222232,1966,USA,2,1930-05-31,None,36,1966-12-23,Western,1003
122,32,13,Jody Foster,Taxi Driver,10,7,3234323322122,1976,USA,1,1962-11-19,None,13,1976-02-08,"Crime, Drama",462
123,32,11,Gene Hackman,The French Connection,15,5,42323242424,1971,USA,2,1930-01-30,None,41,1971-10-07,"Action, Crime, Thriller",306
123,32,11,Yves Montand,The Wages of Fear,16,7,23434224242,1953,Italy,2,1921-10-13,1991-11-09,31,1953-04-15,"Drama, Thriller, Adventure",916
125,32,11,Gene Hackman,The Royal Tenenbaums,11,6,23434323431,2001,USA,2,1930-01-30,None,71,2001-10-05,"Comedy, Drama",307
125,32,11,Donald Sutherland,Don't Look Now,13,9,32433334124,1973,Canada,2,1935-07-17,None,38,1973-12-03,"Thriller, Drama, Horror",236
125,32,11,Joe Pesci,GoodFellas,10,8,31323442433,1990,USA,2,1943-02-09,None,47,1990-09-09,"Drama, Crime",463
128,32,10,Clark Gable,The Misfits,7,5,2244242444,1961,USA,2,1901-02-01,1960-11-16,59,1961-01-01,"Western, Drama, Action, Romance",190
129,32,10,Vivien Leigh,A Streetcar Named Desire,2,5,4434123344,1951,India,1,1913-11-05,1967-07-07,37,1951-09-19,Drama,885
129,32,10,Harrison Ford,Raiders of the Lost Ark,18,7,3322444424,1981,USA,2,1942-07-13,None,38,1981-06-12,"Adventure, Action",346
129,32,10,Kirk Douglas,Ace in the Hole,10,9,2243444324,1951,USA,2,1916-12-09,2020-02-05,34,1951-06-14,Drama,523
129,32,10,Orson Welles,The Third Man,2,5,4344424133,1949,USA,2,1915-05-06,1985-10-10,34,1949-08-31,"Thriller, Mystery",680
133,32,10,Humphrey Bogart,The Treasure of the Sierra Madre,20,4,3334431443,1948,USA,2,1899-12-25,1957-01-14,48,1948-01-14,"Adventure, Drama, Western",373
134,32,9,Tony Leung Chiu Wai,In the Mood for Love,13,10,444432344,2000,Hong Kong,2,1962-06-27,None,37,2000-05-20,"Drama, Romance",981
134,32,9,Moira Shearer,The Red Shoes,18,8,434424344,1948,UK,1,1926-01-17,2006-01-31,22,1948-07-22,"Drama, Romance",655
134,32,9,Kyoko Kishida,Woman in the Dunes,15,6,432444344,1964,Japan,1,1930-04-29,2006-12-17,33,1964-02-15,"Drama, Thriller",972
137,32,9,Dustin Hoffman,Rain Man,18,9,434434343,1988,USA,2,1937-08-08,None,51,1988-12-11,Drama,240
138,31,12,Faye Dunaway,Chinatown,5,8,414224242321,1974,USA,1,1941-01-14,None,33,1974-06-20,"Crime, Drama, Mystery, Thriller",283
139,31,12,Karl Malden,On the Waterfront,15,7,323422322224,1954,USA,2,1912-03-22,2009-07-01,42,1954-06-22,"Crime, Drama",507
140,31,11,Jack Lemmon,Glengarry Glen Ross,12,11,23242242442,1992,USA,2,1925-02-08,2001-06-27,67,1992-09-15,"Crime, Drama, Mystery",389
141,31,11,Paul Newman,Cool Hand Luke,20,5,23314331443,1967,USA,2,1925-01-26,2008-09-26,42,1967-06-22,"Crime, Drama",694
142,31,11,Charlie Chaplin,Modern Times,6,5,23243322433,1936,UK,2,1889-04-16,1977-12-25,46,1936-02-05,"Comedy, Drama",163
143,31,10,Toshiro Mifune,Red Beard,8,8,4332144244,1965,China,2,1920-04-01,1997-12-24,45,1965-04-03,Drama,945
143,31,10,Faye Dunaway,Network,12,12,4343441143,1976,USA,1,1941-01-14,None,35,1976-11-01,Drama,284
143,31,10,Christopher Walken,The Dead Zone,12,12,4324324441,1983,USA,2,1943-03-31,None,40,1983-10-21,"Thriller, Horror, Science Fiction",183
143,31,10,Claudette Colbert,It Happened One Night,17,9,4423244422,1934,France,1,1903-09-13,1996-07-30,30,1934-02-18,"Comedy, Romance",193
147,31,10,Vincent D’Onofrio,Full Metal Jacket,9,3,4334333224,1987,USA,2,1959-06-30,None,28,1987-06-26,"Drama, War",882
148,31,9,Marcello Mastroianni,8½,6,6,234442444,1963,Italy,2,1924-09-28,1996-12-19,38,1963-02-14,"Fantasy, Drama",577
148,31,9,Paul Scofield,A Man for All Seasons,1,9,344314444,1966,UK,2,1922-01-21,2008-03-19,44,1966-12-12,"Drama, History",697
150,31,9,Chishu Ryu,Tokyo Story,16,8,342344344,1953,Japan,2,1904-05-13,1993-03-16,49,1953-11-03,Drama,988
151,30,11,Tim Curry,The Rocky Horror Picture Show,15,8,23124342414,1975,UK,2,1946-04-19,None,29,1975-08-14,"Comedy, Science Fiction, Fantasy, Horror",856
152,30,11,Omar Sharif,Lawrence of Arabia,20,6,42334121343,1962,Egypt,2,1932-04-10,2015-07-10,30,1962-12-10,"Adventure, Drama, History, War",679
153,30,11,Martin Landau,Ed Wood,18,10,22343222343,1994,USA,2,1928-06-20,2017-07-15,66,1994-09-27,"Comedy, Drama, History",609
154,30,10,Willem Dafoe,Platoon,7,6,4431124443,1986,USA,2,1955-07-22,None,31,1986-12-19,"Drama, War, Action",897
155,30,10,Christoph Waltz,Inglourious Basterds,6,7,3212344443,2009,Austria,2,1956-10-04,None,52,2009-05-20,"Drama, Action, Thriller, War",177
155,30,10,Sissy Spacek,Badlands,10,10,4343143422,1973,USA,1,1949-12-25,None,23,1973-10-15,Crime,825
155,30,10,Al Pacino,Scarface,20,7,3224424432,1983,USA,2,1940-04-25,None,43,1983-12-08,"Action, Crime, Drama, Thriller",12
158,30,10,Jason Robards,Once Upon a Time in the West,5,9,3224433324,1968,USA,2,1922-07-26,2000-12-26,46,1968-12-20,Western,429
159,30,10,Gunnar Björnstrand,The Seventh Seal,5,10,2333324343,1957,Sweden,2,1909-11-13,1986-05-26,47,1957-02-16,"Fantasy, Drama",341
160,30,9,Bette Davis,What Ever Happened to Baby Jane?,11,7,423244434,1962,USA,1,1908-04-05,1989-10-06,54,1962-10-31,"Drama, Horror, Thriller",96
160,30,9,Alexander Kaidanovsky,Stalker,18,11,442343442,1979,USSR,2,1946-07-23,1995-12-03,32,1979-05-25,"Science Fiction, Drama",922
162,30,9,Jack Nicholson,The Passenger,14,7,333342444,1975,USA,2,1937-04-22,None,37,1975-02-28,"Thriller, Drama",398
162,30,9,Anthony Quinn,The Road,5,11,434443323,1954,Mexico,2,1915-04-21,2001-06-03,39,1954-09-06,Drama,59
164,30,8,Toshiro Mifune,Sanjuro,2,7,44443344,1962,China,2,1920-04-01,1997-12-24,41,1962-01-01,"Drama, Action, Comedy",948
164,30,8,Setsuko Hara,Late Spring,1,10,43434444,1949,Japan,1,1920-06-17,2015-09-05,29,1949-09-13,Drama,966
164,30,8,Liv Ullmann,Scenes From a Marriage,7,7,44444343,1973,Japan,1,1938-12-16,None,35,1974-09-15,"Drama, Romance",558
164,30,8,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,10,11,44344434,1966,UK,1,1932-02-27,2011-03-23,34,1966-06-21,Drama,252
164,30,8,Jeremy Irons,Dead Ringers,9,4,44344344,1988,UK,2,1948-09-19,None,40,1988-09-23,"Thriller, Horror",448
164,30,8,Daniel Day-Lewis,Phantom Thread,9,4,44433444,2017,UK,2,1957-04-29,None,60,2017-12-11,"Drama, Romance",209
170,29,11,Glenn Close,Fatal Attraction,18,12,42342331241,1987,USA,1,1947-03-19,None,40,1987-09-11,"Drama, Thriller",330
171,29,11,Bruno Ganz,Wings of Desire,14,8,33132331244,1987,Switzerland,2,1941-03-22,2019-02-16,46,1987-08-01,"Drama, Fantasy, Romance",125
171,29,11,Anne Bancroft,The Graduate,4,7,34222423322,1967,USA,1,1931-09-17,2005-06-06,36,1967-12-20,"Comedy, Drama",49
173,29,10,William Holden,Sunset Blvd.,20,8,4143234242,1950,USA,2,1918-04-17,1981-11-12,32,1950-08-10,Drama,904
173,29,10,Clark Gable,It Happened One Night,18,13,1424342243,1934,USA,2,1901-02-01,1960-11-16,33,1934-02-18,"Comedy, Romance",189
173,29,10,Joan Crawford,Mildred Pierce,6,8,2341242344,1945,USA,1,1904-03-23,1977-05-10,41,1945-09-28,"Crime, Drama",453
176,29,10,Charles Bronson,Once Upon a Time in the West,11,8,3232342424,1968,USA,2,1921-11-03,2003-08-30,47,1968-12-20,Western,156
176,29,10,Anthony Quinn,Lawrence of Arabia,17,10,2234433422,1962,Mexico,2,1915-04-21,2001-06-03,47,1962-12-10,"Adventure, Drama, History, War",60
176,29,10,Ingrid Bergman,Notorious,17,10,4433222342,1946,Sweden,1,1915-08-29,1982-08-29,30,1946-08-15,"Thriller, Drama, Romance",381
179,29,9,Gregory Peck,To Kill a Mockingbird,4,8,434414324,1962,USA,2,1916-04-05,2003-06-12,46,1962-12-25,"Drama, Crime",337
179,29,9,James Stewart,Mr. Smith Goes to Washington,6,9,424232444,1939,USA,2,1908-05-20,1997-07-02,31,1939-10-17,"Comedy, Drama",415
181,29,9,Peter Sellers,Being There,4,9,232434434,1979,UK,2,1925-09-08,1980-07-24,54,1979-12-19,"Comedy, Drama",716
182,29,8,Erland Josephson,Scenes From a Marriage,7,9,44244443,1973,Sweden,2,1923-06-15,2012-02-25,51,1974-09-15,"Drama, Romance",271
183,29,8,James Mason,Bigger Than Life,13,11,44443433,1956,UK,2,1909-05-15,1984-07-27,47,1956-08-02,Drama,411
184,28,11,Dustin Hoffman,Midnight Cowboy,6,10,24233213422,1969,USA,2,1937-08-08,None,31,1969-05-25,Drama,238
185,28,10,Bette Davis,All About Eve,13,12,1244223442,1950,USA,1,1908-04-05,1989-10-06,42,1950-10-13,Drama,92
186,28,10,Jean Gabin,Grand Illusion,17,12,2223334441,1937,France,2,1904-05-16,1976-11-15,33,1937-06-04,"Drama, History, War",434
187,28,10,Faye Wong,Chungking Express,3,12,3134333242,1994,China,1,1969-08-08,None,24,1994-07-14,"Drama, Comedy, Romance",985
188,28,9,Adam Driver,Paterson,9,6,222244444,2016,USA,2,1983-11-19,None,32,2016-05-16,"Comedy, Drama, Romance",1
188,28,9,Giulietta Masina,La Strada,8,9,142434424,1954,Italy,1,1921-02-22,1994-03-23,33,1954-09-06,Drama,328
